연도,항공사,노선,정기부정기,여객도착,여객출발
2025,아시아나항공,국내,정기,2953007,2953007
2025,아시아나항공,국내,부정기,39906,39906
2025,아시아나항공,국제,정기,4089187,4090664
2025,아시아나항공,국제,부정기,64934,61758
2025,대한항공,국내,정기,4176446,4176446
2025,대한항공,국내,부정기,69955,69955
2025,대한항공,국제,정기,6339485,6325980
2025,대한항공,국제,부정기,35198,35619
2025,에어부산,국내,정기,1591724,1591724
2025,에어부산,국내,부정기,1322,1322
2025,에어부산,국제,정기,1354933,1350015
2025,에어부산,국제,부정기,30906,29913
2025,이스타항공,국내,정기,1751173,1751173
2025,이스타항공,국내,부정기,24747,24747
2025,이스타항공,국제,정기,906592,901881
2025,이스타항공,국제,부정기,10645,9762
2025,제주항공,국내,정기,2852159,2852159
2025,제주항공,국내,부정기,43389,43389
2025,제주항공,국제,정기,2529908,2497360
2025,제주항공,국제,부정기,23357,22420
2025,진에어,국내,정기,2861455,2861455
2025,진에어,국내,부정기,9784,9784
2025,진에어,국제,정기,2305228,2285576
2025,진에어,국제,부정기,42291,44076
2025,티웨이항공,국내,정기,2564824,2564824
2025,티웨이항공,국내,부정기,122292,122292
2025,티웨이항공,국제,정기,2274552,2264924
2025,티웨이항공,국제,부정기,20210,19916
2025,에어프레미아,국내,정기,0,0
2025,에어프레미아,국내,부정기,0,0
2025,에어프레미아,국제,정기,317753,341679
2025,에어프레미아,국제,부정기,6090,5068
2025,에어서울,국내,정기,360138,360138
2025,에어서울,국내,부정기,387,387
2025,에어서울,국제,정기,579026,582496
2025,에어서울,국제,부정기,3548,3549
2025,에어로케이항공,국내,정기,119881,119881
2025,에어로케이항공,국내,부정기,357,357
2025,에어로케이항공,국제,정기,407843,410572
2025,에어로케이항공,국제,부정기,19610,18625
2025,아메리칸항공,국제,정기,57462,61343
2025,아메리칸항공,국제,부정기,284,270
2025,에어캐나다,국제,정기,130652,137866
2025,에어캐나다,국제,부정기,3130,3373
2025,프랑스항공,국제,정기,63115,61567
2025,프랑스항공,국제,부정기,0,0
2025,인도항공,국제,정기,31576,25341
2025,인도항공,국제,부정기,0,0
2025,에어재팬화물항공,국제,정기,63397,55391
2025,에어재팬화물항공,국제,부정기,0,0
2025,스리랑카항공,국제,정기,14595,15113
2025,스리랑카항공,국제,부정기,0,109
2025,에어마카오,국제,정기,53383,52797
2025,에어마카오,국제,부정기,558,615
2025,아에로멕시코,국제,정기,44391,46136
2025,아에로멕시코,국제,부정기,96,0
2025,전일본공수,국제,정기,136518,143554
2025,전일본공수,국제,부정기,219,236
2025,뉴질랜드항공,국제,정기,9016,8930
2025,뉴질랜드항공,국제,부정기,0,0
2025,필리핀에어아시아,국제,정기,36375,36513
2025,필리핀에어아시아,국제,부정기,0,0
2025,피치항공,국제,정기,248212,216421
2025,피치항공,국제,부정기,872,756
2025,에어아시아,국제,정기,32714,30782
2025,에어아시아,국제,부정기,0,0
2025,벰부항공,국제,정기,0,0
2025,벰부항공,국제,부정기,500,312
2025,중화항공,국제,정기,282652,288371
2025,중화항공,국제,부정기,9230,9909
2025,북경수도항공,국제,정기,11316,10681
2025,북경수도항공,국제,부정기,2503,2428
2025,중국국제항공,국제,정기,367529,362185
2025,중국국제항공,국제,부정기,2379,2031
2025,룽에어,국제,정기,45171,44012
2025,룽에어,국제,부정기,0,0
2025,산동항공,국제,정기,308501,307714
2025,산동항공,국제,부정기,0,159
2025,세부퍼시픽항공,국제,정기,158527,145863
2025,세부퍼시픽항공,국제,부정기,0,0
2025,중국동방항공,국제,정기,864267,864339
2025,중국동방항공,국제,부정기,94,179
2025,중국하이난항공,국제,정기,18981,14365
2025,중국하이난항공,국제,부정기,0,0
2025,캐세이퍼시픽항공,국제,정기,257701,256040
2025,캐세이퍼시픽항공,국제,부정기,0,220
2025,춘추항공,국제,정기,392394,373563
2025,춘추항공,국제,부정기,7330,6494
2025,홍콩항공,국제,정기,60033,60543
2025,홍콩항공,국제,부정기,0,0
2025,사천항공,국제,정기,29309,28929
2025,사천항공,국제,부정기,0,0
2025,상해항공,국제,정기,134280,131831
2025,상해항공,국제,부정기,239,200
2025,중국남방항공,국제,정기,558005,584600
2025,중국남방항공,국제,부정기,10757,10553
2025,중국심천항공,국제,정기,97554,95171
2025,중국심천항공,국제,부정기,102,333
2025,중국연합항공,국제,정기,0,0
2025,중국연합항공,국제,부정기,6901,7222
2025,하문항공,국제,정기,62456,56120
2025,하문항공,국제,부정기,0,0
2025,델타항공,국제,정기,320909,338781
2025,델타항공,국제,부정기,190,0
2025,길상항공(준야오),국제,정기,105542,103861
2025,길상항공(준야오),국제,부정기,663,619
2025,루프트한자항공(독일항공),국제,정기,121819,119245
2025,루프트한자항공(독일항공),국제,부정기,0,0
2025,에티하드항공,국제,정기,95254,92533
2025,에티하드항공,국제,부정기,0,0
2025,에티오피안항공,국제,정기,45099,38359
2025,에티오피안항공,국제,부정기,79,0
2025,에바항공,국제,정기,193533,197728
2025,에바항공,국제,부정기,9856,9885
2025,핀란드항공,국제,정기,58431,57375
2025,핀란드항공,국제,부정기,0,0
2025,천진항공,국제,정기,14930,14760
2025,천진항공,국제,부정기,0,0
2025,가루다인도네시아,국제,정기,83105,86916
2025,가루다인도네시아,국제,부정기,175,122
2025,하와이안항공,국제,정기,36706,39998
2025,하와이안항공,국제,부정기,0,0
2025,그레이터베이항공,국제,정기,9155,8722
2025,그레이터베이항공,국제,부정기,0,0
2025,홍콩익스프레스,국제,정기,302587,293713
2025,홍콩익스프레스,국제,부정기,19224,19330
2025,베트남항공,국제,정기,497040,510665
2025,베트남항공,국제,부정기,242,252
2025,일본항공,국제,정기,137751,145259
2025,일본항공,국제,부정기,412,0
2025,젯스타에어웨이즈,국제,정기,80194,81015
2025,젯스타에어웨이즈,국제,부정기,0,0
2025,네덜란드항공,국제,정기,62233,63252
2025,네덜란드항공,국제,부정기,0,0
2025,에어아스타나항공,국제,정기,45302,44448
2025,에어아스타나항공,국제,부정기,0,0
2025,라오항공,국제,정기,24864,23551
2025,라오항공,국제,부정기,0,0
2025,폴란드항공,국제,정기,54495,52529
2025,폴란드항공,국제,부정기,0,0
2025,말레이시아항공,국제,정기,73185,79292
2025,말레이시아항공,국제,부정기,0,0
2025,마이플레이터항공,국제,정기,2012,1988
2025,마이플레이터항공,국제,부정기,0,0
2025,몽골항공,국제,정기,106301,112290
2025,몽골항공,국제,부정기,718,1034
2025,미얀마국제항공,국제,정기,12488,11900
2025,미얀마국제항공,국제,부정기,0,0
2025,훈누항공,국제,정기,0,0
2025,훈누항공,국제,부정기,1817,1726
